model,task,split,n_params,auc_test
gbmtuned,3485,6,2016,0.997063659854358
gbmtuned,3485,7,2680,0.99803876326719
gbmtuned,3485,8,3900,0.969779246842167
gbmtuned,3485,9,3900,0.995278007319089
gbmtuned,3492,1,2776,0.716836734693878
gbmtuned,3492,10,2256,0.644179894179894
gbmtuned,3492,2,440,0.755102040816326
gbmtuned,3492,3,2256,0.664540816326531
gbmtuned,3492,4,2256,0.701530612244898
gbmtuned,3492,5,1664,0.744897959183674
gbmtuned,3492,6,1028,0.6875
gbmtuned,3492,7,1188,0.764550264550265
gbmtuned,3492,8,2256,0.67989417989418
gbmtuned,3492,9,2256,0.869047619047619
gbmtuned,3493,1,3504,0.583333333333333
gbmtuned,3493,10,2480,0.466422466422466
gbmtuned,3493,2,3476,0.48125
gbmtuned,3493,3,3476,0.6825
gbmtuned,3493,4,2700,0.52
gbmtuned,3493,5,3684,0.57125
gbmtuned,3493,6,3128,0.345543345543346
gbmtuned,3493,7,3624,0.506715506715507
gbmtuned,3493,8,1276,0.628815628815629
gbmtuned,3493,9,1276,0.518925518925519
gbmtuned,3494,1,1636,0.96551724137931
gbmtuned,3494,10,1664,1
gbmtuned,3494,2,2300,1
gbmtuned,3494,3,1664,1
gbmtuned,3494,4,3852,1
gbmtuned,3494,5,2776,1
gbmtuned,3494,6,2776,1
gbmtuned,3494,7,440,1
gbmtuned,3494,8,2776,0.958222811671088
gbmtuned,3494,9,2300,0.942970822281167
gbmtuned,37,1,1776,0.911851851851852
gbmtuned,37,10,1776,0.797692307692308
gbmtuned,37,2,2476,0.768888888888889
gbmtuned,37,3,1776,0.867407407407407
gbmtuned,37,4,1776,0.834814814814815
gbmtuned,37,5,1776,0.81037037037037
gbmtuned,37,6,1776,0.897037037037037
gbmtuned,37,7,1776,0.805925925925926
gbmtuned,37,8,928,0.847407407407407
gbmtuned,37,9,1776,0.826923076923077
gbmtuned,3891,1,1528,0.963849016480595
gbmtuned,3891,10,2504,0.944786096256685
gbmtuned,3891,2,1528,0.922115895800106
gbmtuned,3891,3,3284,0.932515948963317
gbmtuned,3891,4,3284,0.930721690590112
gbmtuned,3891,5,2504,0.944743487506645
gbmtuned,3891,6,1528,0.913060817547358
gbmtuned,3891,7,1528,0.936224659355268
gbmtuned,3891,8,2504,0.964572947823197
gbmtuned,3891,9,3284,0.939939839572193
gbmtuned,3899,1,3912,0.972942018879666
gbmtuned,3899,10,3132,0.960286605063481
gbmtuned,3899,2,3912,0.975509106177505
gbmtuned,3899,3,3912,0.983054787022666
gbmtuned,3899,4,3912,0.976293572065891
gbmtuned,3899,5,3912,0.971948549534756
gbmtuned,3899,6,3132,0.966480478373201
gbmtuned,3899,7,3988,0.966336005763894
gbmtuned,3899,8,3132,0.974955579363307
gbmtuned,3899,9,3132,0.970556306813913
gbmtuned,3902,1,2960,0.93359375
gbmtuned,3902,10,2364,0.958639705882353
gbmtuned,3902,2,2960,0.909722222222222
gbmtuned,3902,3,1100,0.940972222222222
gbmtuned,3902,4,2960,0.960069444444444
gbmtuned,3902,5,2128,0.9609375
gbmtuned,3902,6,624,0.914496527777778
gbmtuned,3902,7,2364,0.938802083333333
gbmtuned,3902,8,2364,0.946180555555556
gbmtuned,3902,9,2960,0.927389705882353
gbmtuned,3903,1,1812,0.770390070921986
gbmtuned,3903,10,2600,0.848883928571429
gbmtuned,3903,2,2564,0.863031914893617
gbmtuned,3903,3,2564,0.868351063829787
gbmtuned,3903,4,2600,0.860714285714286
gbmtuned,3903,5,2600,0.796205357142857
gbmtuned,3903,6,724,0.784151785714286
gbmtuned,3903,7,3060,0.761607142857143
gbmtuned,3903,8,824,0.797991071428571
gbmtuned,3903,9,824,0.816741071428571
